,url,product_code,tltle,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,price_discount,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
265,https://winestyle.ru/products/Soyuz-Vino-Zelenaya-Dolina-Chardonnay-in-can.html,Артикул: в225948,"""Зеленая Долина"" Шардоне, в жестяной банке, 0.25 литра",190 ₽,in_stock,12 %,Zelenaya Dolina,Шардоне,Россия; Краснодарский край,Белое; Сухое,лёгкое,250 мл,светлое,Союз-Вино,http://soyuz-vino.ru/,рыба; белое мясо; аперитив; салат; закуски,10-12 °С,фруктовый; персик; сухой; абрикос; яблоки; легкое; приятный; освежающий; бодрящий,wine,,,,,,,,
266,https://winestyle.ru/products/Porto-Solnechnoy-Doliny-White.html,Артикул: в98822,"""Porto Solnechnoy Doliny"" White, 750 мл",779 ₽,in_stock,17.5 %,Солнечная Долина; Порто,Кокур; Ркацители; Алиготе; Белые сорта винограда,Россия; Крым,Крепленое; Сладкое,среднее,0.75 л,умеренное,Солнечная Долина,http://sunvalley1888.ru/,десерты; дижестив; выпечка; голубой сыр,14–16 °С,мед; яблоки; курага; яркий; насыщенный/интенсивный; гармоничный; теплый,wine,,,,,,,,
267,https://winestyle.ru/products/Villa-Krim-Riesling.html,Артикул: в158473,"""Вилла Крым"" Рислинг, 750 мл",639 ₽,in_stock,11.2 %,Villa Krim,Рислинг,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,ООО АВК (Алеф-Виналь-Крым),,рыба; аперитив; морепродукты/дары моря; паста,10–12 °С,фруктовый; цветочный; яблоки; чистый; изящный,wine,,https://villakrim.com/,,,,,,
268,https://winestyle.ru/products/Villa-Krim-Shevalie-Rouge-rus.html,Артикул: в118323,"""Вилла Крым"" Шевалье Руж, 750 мл",609 ₽,in_stock,10.5 %,Villa Krim,Бастардо; Красные сорта винограда,Россия; Крым,Красное; Полусладкое,среднее,0.75 л,насыщенное,ООО АВК (Алеф-Виналь-Крым),,салат; сыры; фруктовый десерт,14–16 °С,вишня; миндаль; насыщенный/интенсивный,wine,,https://villakrim.com/,,,,,,
269,https://winestyle.ru/products/Chateau-le-Grand-Vostock-Le-Chene-Royal-Reserva.html,Артикул: в159444,"Шато ле Гран Восток, ""Ле Шен Рояль"" Резерв, 750 мл",1 360 ₽,in_stock,13.5 %,,Каберне Совиньон; Мерло; Саперави,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,насыщенное,Chateau le Grand Vostock,http://grandvostock.ru/,дичь; мясо на гриле; мягкие сыры,16–18 °С,шоколад; сочный; черный перец; черные ягоды; хлеб; насыщенный/интенсивный; терпкий,wine,,,,,,,,
270,https://winestyle.ru/products/Derbent-Wine-Company-Di-Caspico-Special-Edition-White-Semi-Sweet.html,Артикул: в233102,"""Ди Каспико"" Спешл Эдишн, Белое полусладкое, 750 мл",639 ₽,in_stock,11 %,Di Caspico; Special Edition,Рислинг; Шардоне; Ркацители,Россия; Дагестан; Дербент,Белое; Полусладкое,лёгкое,0.75 л,бледное,Дербентская Винодельческая Компания,https://derbentwine.ru,десерты; фрукты; выпечка; мягкие сыры,10-12 °С,фруктовый; цветочный; легкое; сбалансированный; гармоничный; сливочный; чистый; сладковатый,wine,,,,,,,,
271,https://winestyle.ru/products/Natale-Verga-Fiorino-d-Oro-Bianco-Secco-bag-in-box.html,Артикул: в176037,"Натале Верга, ""Фиорино д'Оро"" Белое сухое, бэг-ин-бокс, 3 литра",1 139 ₽,in_stock,12 %,Fiorino d'Oro (Natale Verga),Треббьяно; Гарганега,Россия,Белое; Сухое,лёгкое,3 л,светлое,Южная Винная Компания (ЮВК),http://swcrussia.com/,рыба; аперитив; закуски; суп,8-10 °С,легкое; приятный; гармоничный; освежающий,wine,,,,Италия,,,,
272,https://winestyle.ru/products/Villa-Krim-Valley-of-Butterflies.html,Артикул: в222542,"""Вилла Крым"" Вэлли оф Баттерфлайс, 750 мл",629 ₽,in_stock,12 %,Villa Krim,Мускат; Каберне Совиньон,Россия; Крым,Розовое; Полусладкое,лёгкое,0.75 л,светлое,ООО АВК (Алеф-Виналь-Крым),,мясо; птица; выпечка; фруктовый десерт; ягодный десерт,10–12 °С,фруктовый; ягоды; мускатный орех; округлый; приятный; сладковатый; нежный; кислинка,wine,,https://villakrim.com/,,,,,,
273,https://winestyle.ru/products/Staryi-Krym-Muscat-Carminel.html,Артикул: в118332,"""Staryi Krym"" Muscat Carminel, 750 мл",759 ₽,in_stock,13 %,,Мускат; Мерло,Россия; Крым,Розовое; Полусухое,среднее,0.75 л,умеренное,ООО АВК (Алеф-Виналь-Крым),,птица; рыба; аперитив; морепродукты/дары моря; паштет; мясные закуски,10–12 °С,фруктовый; свежий; легкое; мягкий; гармоничный; чистый; сладковатый,wine,,,,,,,,
274,https://winestyle.ru/products/Inkerman-Cabernet-Kachinskoye.html,Артикул: в49686,"Inkerman, Cabernet Reserve, 750 мл",810 ₽,in_stock,13 %,,Каберне Совиньон,Россия; Крым; Севастополь,Красное; Сухое,среднее,0.75 л,насыщенное,Инкерман,http://inkerman.ru/,дичь; красное мясо; паста; сыры,15–18 °С,фруктовый; дуб; мягкий; насыщенный/интенсивный; терпкий; гармоничный; бархатистый,wine,,,,,,,,
275,https://winestyle.ru/products/Villa-Krim-Cape-Kakadu.html,Артикул: в222547,"""Вилла Крым"" Кейп Какаду, 750 мл",489 ₽,in_stock,12.5 %,Villa Krim,Мерло; Каберне Совиньон; Бастардо Магарачский,Россия; Крым,Красное; Полусладкое,среднее,0.75 л,тёмное,ООО АВК (Алеф-Виналь-Крым),,мясо; десерты; выпечка; фруктовый десерт,15–20 °С,фруктовый; свежий; сочный; мягкий; насыщенный/интенсивный; приятный; сбалансированный; сладковатый,wine,,https://villakrim.com/,,,,,,
276,https://winestyle.ru/products/Massandra-Rose-Semi-Sweet.html,Артикул: в203507,"Massandra, Rose Semi-Sweet, 750 мл",509 ₽,in_stock,12 %,Массандра,Белые сорта винограда; Красные сорта винограда,Россия; Крым,Розовое; Полусладкое,лёгкое,0.75 л,умеренное,Массандра,http://massandra.su/,птица; рыба; выпечка; легкие блюда; фруктовый десерт,10–12 °С,фруктовый; округлый; приятный; сбалансированный; чистый; сладковатый,wine,,,,,,,,
277,https://winestyle.ru/products/Good-Year-Riesling.html,Артикул: в120095,"""Good Year"" Riesling, 750 мл",769 ₽,in_stock,11.5 %,Валерий Захарьин; Хороший год,Рислинг,Россия; Крым,Белое; Полусухое,лёгкое,0.75 л,светлое,Interfin,http://interfin-wine.com,рыба; белое мясо; морепродукты/дары моря; фрукты,10–12 °С,травы; груша; яблоки; мягкий; сбалансированный; гармоничный; долгий/продолжительный; пикантный; кислинка,wine,,https://valeryzaharin.com/,,,,,,
278,https://winestyle.ru/products/Massandra-Pearl-of-Massandra-White.html,Артикул: в62685,"""Pearl of Massandra"" White, 750 мл",579 ₽,in_stock,12 %,Массандра; Жемчужина Массандры,Кокур; Москато Бьянко,Россия; Крым,Белое; Полусладкое,лёгкое,0.75 л,светлое,Массандра,http://massandra.su/,рыба; белое мясо; аперитив; десерты; фрукты,7–9 °С,фруктовый; сбалансированный; сладковатый,wine,,,,,,,,
279,https://winestyle.ru/products/Omega-Bay-Muscat-Dry.html,Артикул: в217486,"""Omega Bay"" Muscat Dry, 750 мл",769 ₽,in_stock,12 %,Валерий Захарьин; Бухта Омега,Мускат Оттонель,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,Interfin,http://interfin-wine.com,рыба; белое мясо; аперитив; морепродукты/дары моря; острые рыбные и мясные блюда,8-10 °С,фруктовый; цветочный; свежий; пряный/острый; сухой; легкое; гармоничный,wine,,https://valeryzaharin.com/,,,,,,
280,https://winestyle.ru/products/Belbek-Muscat-Dry-2023.html,Артикул: в232449,"""Belbek"" Muscat Dry, 2023, 750 мл",1 319 ₽,in_stock,12.8 %,Винодельня Бельбек,Мускат,Россия; Крым; Севастополь,Белое; Сухое,среднее,0.75 л,светлое,Wein und Wasser,,птица; рыба; аперитив; морепродукты/дары моря,8–12 °С,фруктовый; цветочный; насыщенный/интенсивный; сбалансированный,wine,,http://belbekwine.com/,,,,,,
281,https://winestyle.ru/products/Massandra-Madera-Crimean.html,Артикул: в28294,"Massandra, Madera Crimean, 750 мл",1 249 ₽,in_stock,19 %,,Серсиаль; Альбильо; Шабаш,Россия; Крым,Белое; Сладкое,среднее,0.75 л,умеренное,Массандра,http://massandra.su/,рыба; фуа-гра /паштет из гусиной печени; аперитив; ветчина; морепродукты/дары моря; утка; фрукты; голубой сыр; гусь,10–12 °С,орехи; насыщенный/интенсивный; сбалансированный; гармоничный; жгучий,wine,,,,,,,,
282,https://winestyle.ru/products/Esse-Mussat.html,Артикул: в34923,"""Эссе"" Мускат, 750 мл",1 009 ₽,in_stock,13 %,Esse,Мускат,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,Сатера,http://essewine.com,салат; закуски; овощи,10–12 °С,свежий; цитрусовые; легкое; гармоничный; долгий/продолжительный,wine,,,,,,,,
283,https://winestyle.ru/products/Uroki-Francuzskogo-Merlot.html,Артикул: в223126,"""Uroki Francuzskogo"" Merlot, 750 мл",889 ₽,in_stock,14.5 %,Уроки Французского,Мерло,Россия; Краснодарский край,Красное; Сухое,полнотелое,0.75 л,насыщенное,Chateau de Talu,http://chateaudetalu.ru/,красное мясо; сыры; закуски; грибы; овощи; стейк; мясо на гриле; мясо под соусом; колбасные изделия; жареные каштаны,16–18 °С,фруктовый; свежий; сочный; ягоды; мягкий; приятный; терпкий; бархатистый; обволакивающий,wine,,,2-3 года,,,,,
