,url,product_code,tltle,price_discount,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
1269,https://winestyle.ru/products/Belbek-Meritage-2022.html,Артикул: в245869,"""Belbek"" Meritage, 2022, 0.375 литра",,1 149 ₽,in_stock,13.6 %,Винодельня Бельбек,Каберне Совиньон; Мерло; Каберне Фран,Россия; Крым; Севастополь,Красное; Сухое,среднее,375 мл,тёмное,Wein und Wasser,,гриль; соус,16–18 °С,свежий; ягоды; пряный/острый; округлый; сбалансированный; гармоничный; долгий/продолжительный; шелковистый,wine,http://belbekwine.com/,9-12 лет,,,,,
1270,https://winestyle.ru/products/Winecraft-Rose-2021.html,Артикул: в201180,"Вайнкрафт, Розе, 2021, 750 мл",,2 000 ₽,in_stock,13.5 %,,Пино Нуар,Россия; Крым,Розовое; Сухое,среднее,0.75 л,светлое,Winecraft,https://winecraft.su,рыба; белое мясо; аперитив; салат; паста,10–12 °С,красные ягоды; яркий; приятный; гармоничный; освежающий; спелые ягоды,wine,,,,,,,
1271,https://winestyle.ru/products/Usadba-Markotkh-Viognier-2023.html,Артикул: в246595,"""Usadba Markotkh"" Viognier, 2023, 750 мл",,2 480 ₽,in_stock,12 %,Усадьба Маркотх,Вионье,Россия; Краснодарский край,Белое; Сухое,среднее,0.75 л,светлое,Геленджик,http://gelvino.ru/,рыба; аперитив; морепродукты/дары моря; устрицы; моллюски,10–12 °С,фруктовый; цитрусовые; утонченный; сбалансированный; чистый; гладкий; кислинка,wine,,,,,,,
1272,https://winestyle.ru/products/Agrolain-Mountain-Eagle-Saperavi-2021.html,Артикул: в207233,"""Маунтен Игл"" Саперави, 2021, 750 мл",,2 120 ₽,in_stock,13.5 %,Mountain Eagle,Саперави,Россия; Дагестан; Дербент,Красное; Сухое,среднее,0.75 л,тёмное,Агролайн,https://oooagrolain.ru/,мясо; дичь; жареное мясо; паста; мясо на гриле; мясные закуски; зрелые/выдержанные сыры,16–18 °С,фруктовый; свежий; сочный; пряный/острый; сухой; полный; сбалансированный; округлые танины; долгий/продолжительный; горьковатый; пикантный; изысканный/элегантный,wine,,,,,,,
1273,https://winestyle.ru/products/Usadba-Perovskih-Pinot-Noir-Reserve-2021.html,Артикул: в228980,"""Usadba Perovskih"" Pinot Noir Reserve, 2021, 750 мл",,2 010 ₽,in_stock,12.2 %,Усадьба Перовских,Пино Нуар,Россия; Крым; Севастополь,Красное; Сухое,среднее,0.75 л,насыщенное,Wein und Wasser,,дичь; сыры; мясо на гриле; мясные закуски; зрелые/выдержанные сыры,16–18 °C,свежий; ягоды; специи/пряности; минералы; насыщенный/интенсивный; сбалансированный; гармоничный; долгий/продолжительный,wine,http://perovskywinery.ru/,,,,,,
1274,https://winestyle.ru/products/Alma-Valley-Cabernet-Sauvignon-2022.html,Артикул: в248436,"""Альма Валей"" Каберне Совиньон, 2022, 750 мл",,1 609 ₽,in_stock,15 %,,Каберне Совиньон,Россия; Крым,Красное; Сухое,полнотелое,0.75 л,тёмное,Alma Valley,http://alma-valley.ru/,мясо; жареное мясо; мясо на гриле,16–18 °С,ягоды; специи/пряности; сухой; полный; приятный; сбалансированный; терпкий; долгий/продолжительный; изящный,wine,,,,,,,
1275,https://winestyle.ru/products/Nikolaev-Sons-Zolotoj-Klyuch-2023.html,Артикул: в250955,"Николаев и Сыновья, ""Золотой Ключ"", 2023, 750 мл",,2 590 ₽,in_stock,12.5 %,Nikolaev & Sons,Мцване,Россия; Краснодарский край,Оранжевое; Сухое,среднее,0.75 л,умеренное,Лефкадия,https://lefkadia.wine,аперитив; сыры; закуски; острые рыбные и мясные блюда,10–12 °С,сочный; мед; айва; трава; курага; яркий; насыщенный/интенсивный; приятный,wine,https://nsons.ru,,,,,,
1276,https://winestyle.ru/products/Mangup-Syrah-Cabernet-Sauvignon.html,Артикул: в167366,"""Мангуп"" Сира-Каберне Совиньон, 750 мл",,2 040 ₽,in_stock,13.5 %,Mangup,Каберне Совиньон; Сира,Россия; Крым; Севастополь,Красное; Сухое,среднее,0.75 л,насыщенное,Wein und Wasser,,красное мясо; сыры,16–17 °С,сухой; красные фрукты; гармоничный; долгий/продолжительный; танинный; сладкие специи,wine,https://mangup.estate/,7-10 лет,,Да,,,
1277,https://winestyle.ru/products/Kalos-Limen-Syrah-Pinot-Noir-2021.html,Артикул: в216791,"""Калос Лимен"" Сира-Пино Нуар, 2021, 750 мл",,2 090 ₽,in_stock,12.4 %,Kalos Limen; Galin Milkov,Сира; Пино Нуар,Россия; Крым,Розовое; Сухое,среднее,0.75 л,светлое,КФХ Таврида,https://kalos-limen.ru,рыба; морепродукты/дары моря; салат; закуски; легкие блюда; фруктовый десерт; ягодный десерт,8–10 °С,свежий; ягоды; округлый; яркий; приятный,wine,https://kalos-limen.ru,,,,,,
1278,https://winestyle.ru/products/South-Vertical-Chardonnay-Muscat-2023.html,Артикул: в246441,"""South Vertical"" Chardonnay-Muscat, 2023, 750 мл",,1 409 ₽,in_stock,11 %,Южная Вертикаль,Шардоне; Мускат,Россия; Краснодарский край,Белое; Сухое,среднее,0.75 л,светлое,Chateau de Talu,http://chateaudetalu.ru/,аперитив; морепродукты/дары моря; салат; голубой сыр; морская рыба; козий сыр,10–12 °С,фруктовый; цитрусовые; утонченный; мягкий; приятный; сбалансированный; гладкий; кислинка,wine,,,,,,,
